City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Maraa,BR,-1.8333,-65.3667,72.54,99,86,1.68,light rain
231,Chapais,CA,49.7834,-74.8492,1.18,93,100,5.28,overcast clouds
232,Esperance,AU,-33.8667,121.9,64.22,66,87,18.77,overcast clouds
233,La Ronge,CA,55.1001,-105.2842,-10.95,70,1,5.75,clear sky
234,Bilma,NE,18.6853,12.9164,60.8,22,1,7.63,clear sky
235,Manakara,MG,-22.1333,48.0167,81.01,70,2,7.02,clear sky
236,Arrifes,PT,37.7667,-25.7,59.25,63,75,6.91,broken clouds
237,Dudinka,RU,69.4058,86.1778,-14.39,98,100,20.85,light snow
238,Chuy,UY,-33.6971,-53.4616,61.92,93,54,5.48,broken clouds
239,Coihaique,CL,-45.5752,-72.0662,48.99,97,23,4.14,few clouds
240,Haines Junction,CA,60.7522,-137.5108,-3.77,100,100,1.57,overcast clouds
241,Ancud,CL,-41.8697,-73.8203,58.42,81,0,2.06,clear sky
242,Chokurdakh,RU,70.6333,147.9167,-43.64,99,63,5.86,broken clouds
243,Bafra,TR,41.5678,35.9069,57.81,59,34,8.3,scattered clouds
244,Nador,MA,35.174,-2.9287,57.45,67,20,16.11,few clouds
245,Ribeira Grande,PT,38.5167,-28.7,63.77,71,83,10.51,broken clouds
246,Davila,PH,18.4726,120.5763,80.58,73,96,22.35,overcast clouds
247,Diego De Almagro,CL,-26.3667,-70.05,63.09,34,76,1.36,broken clouds
248,Guarabira,BR,-6.8547,-35.49,78.39,90,28,4.27,scattered clouds
249,Akyab,MM,20.15,92.9,82.58,69,49,9.31,scattered clouds
250,Fairbanks,US,64.8378,-147.7164,11.61,82,90,4.61,overcast clouds
251,Pangkalanbuun,ID,-2.6833,111.6167,83.05,74,92,6.76,overcast clouds
252,Chicama,PE,-7.8447,-79.1469,65.48,87,100,5.7,overcast clouds
253,Vaitape,PF,-16.5167,-151.75,80.74,75,23,13.6,light rain
254,Hithadhoo,MV,-0.6,73.0833,81.59,77,99,11.52,overcast clouds
255,Carballo,ES,43.213,-8.691,53.55,92,100,6.33,overcast clouds
256,Pontes E Lacerda,BR,-15.2261,-59.3353,71.82,98,100,2.84,moderate rain
257,Grottammare,IT,42.9888,13.8649,44.4,82,100,15.79,overcast clouds
258,Zhanakorgan,KZ,43.9098,67.2495,42.89,57,100,6.15,overcast clouds
259,Tangzhai,CN,34.4328,116.5911,55.53,36,0,13.22,clear sky
260,Victoria,HK,22.2855,114.1577,74.03,47,69,5.99,broken clouds
261,Cacoal,BR,-11.4386,-61.4472,72.57,99,100,1.45,very heavy rain
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.79,85,1,10.36,clear sky
