City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Governador Valadares,BR,71.02,broken clouds,-18.8511,-41.9494,Hotel Panorama
477,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
478,Auki,SB,79.16,overcast clouds,-8.7676,160.7034,Auki Motel
481,Cartagena Del Chaira,CO,70.93,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
482,Alcantara,BR,82.6,broken clouds,-2.4089,-44.4147,Pousada da Josefa
485,Ocos,GT,79.0,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
487,Oriximina,BR,74.64,light rain,-1.7656,-55.8661,Pousada Tia Amélia
488,Swan Hill,AU,83.43,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
489,Valdez,EC,75.43,moderate rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
491,Labis,MY,82.92,overcast clouds,2.385,103.021,Labis Sunrise Farm
497,Nauta,PE,72.72,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
504,San Estanislao,CO,80.69,broken clouds,10.3983,-75.1511,Hostal Bugambilia
505,The Valley,AI,80.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
508,Barao De Melgaco,BR,75.72,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
513,Harper,LR,79.12,light rain,4.375,-7.7169,Screensaver
515,Grand-Santi,GF,71.37,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
516,Ghanzi,BW,75.43,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
517,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
518,Biltine,TD,73.06,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
526,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
528,Kantunilkin,MX,76.95,clear sky,21.0917,-87.45,Posada Paraiso
534,Bria,CF,76.64,overcast clouds,6.5423,21.9863,WFP Guesthouse
535,Pemangkat,ID,83.98,overcast clouds,1.1667,108.9667,Ramah Kost KITA
538,Puerto Quijarro,BO,72.41,light rain,-17.7833,-57.7667,Hotel palance
541,Samarai,PG,84.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
542,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
547,Port Augusta,AU,85.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
548,Kiunga,PG,86.11,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
550,Cavinti,PH,81.77,few clouds,14.2448,121.508,Baliraya
551,Beaufort,MY,84.36,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
553,Ortega,CO,72.36,broken clouds,3.9361,-75.2217,Hotel Gilmart
554,Muli,MV,83.03,few clouds,2.9167,73.5667,Medhufushi Island Resort
556,Aracruz,BR,74.41,overcast clouds,-19.8203,-40.2733,OYO Hotel Iramar
558,Chimoio,MZ,75.06,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
562,Maunabo,PR,80.44,broken clouds,18.0072,-65.8993,Maunacaribe
566,Carutapera,BR,78.22,broken clouds,-1.195,-46.02,Lidera
569,Butterworth,MY,86.09,few clouds,5.3991,100.3638,Cititel Penang
572,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
578,Khaga,IN,79.65,few clouds,25.7833,81.1167,Hostel khaga sardai road
593,Poum,NC,81.97,few clouds,-20.2333,164.0167,Gîte kajeon
598,Sao Francisco Do Sul,BR,72.1,broken clouds,-26.2433,-48.6381,Hotel Kontiki
599,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
603,Ron,IN,79.65,scattered clouds,15.6667,75.7333,Sangalad Lodging
604,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
605,Arecibo,PR,77.58,few clouds,18.4724,-66.7157,Atlantic Sand Oasis
606,Dong Hoi,VN,73.24,broken clouds,17.4833,106.6,Nam Long Hotel
608,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
609,Amahai,ID,81.21,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
610,Bontang,ID,85.42,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
613,Catamarca,AR,77.77,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
615,Luanda,AO,77.72,overcast clouds,-8.8368,13.2343,Hotel Fórum
616,Naifaru,MV,82.63,few clouds,5.4444,73.3657,Naifaru Residence Guest House
623,Hatillo,PR,77.07,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
626,Adiake,CI,81.99,broken clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
629,Wanning,CN,74.84,overcast clouds,18.8003,110.3967,Paradise Hotel
632,Kassala,SD,72.93,clear sky,15.451,36.4,Amassi Hotel Gash
639,Sungaipenuh,ID,81.05,broken clouds,-2.0833,101.3833,penginapan citra alam
641,Camaguey,CU,75.54,scattered clouds,21.3808,-77.9169,Tararaco
642,Jati,PK,80.47,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
645,Chaozhou,CN,73.26,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
651,Laguna De Perlas,NI,76.69,clear sky,12.3429,-83.6712,Hotel Best View
657,Maoming,CN,75.99,broken clouds,21.65,110.9,Jinhui Hotel
666,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
667,Wonosari,ID,79.39,moderate rain,-7.9656,110.6036,OYO 2634 Griya Birowo Syariah
675,Kulhudhuffushi,MV,82.4,few clouds,6.6221,73.07,Haajy Guest House 1
677,Lagunas,PE,72.64,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
679,Vila Do Maio,CV,72.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
682,Anaco,VE,73.29,broken clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
684,Ponnani,IN,85.32,broken clouds,10.767,75.9252,Rouba Residency
690,Caravelas,BR,72.61,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
693,Coari,BR,74.07,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
694,Kavaratti,IN,80.98,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
695,Mansa,IN,74.07,clear sky,29.9833,75.3833,STARiHOTEL Mansa
698,San Rafael Del Sur,NI,74.37,clear sky,11.8485,-86.4384,Hospedaje El Chino
