City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Zhucheng,CN,2021-11-29 19:00:27,35.9947,119.3975,38.43,95,100,21.47
261,Marsa Matruh,EG,2021-11-29 19:03:04,31.3525,27.2453,74.21,38,100,10.42
262,Waverly,US,2021-11-29 19:01:19,42.7392,-84.6208,38.48,69,100,7.54
263,Buchanan,LR,2021-11-29 19:03:05,5.8808,-10.0467,80.56,79,100,6.73
264,Escanaba,US,2021-11-29 19:03:05,45.7453,-87.0646,33.94,67,90,9.22
265,Gimry,RU,2021-11-29 19:03:06,42.7597,46.8396,42.53,60,2,9.62
266,Abu Samrah,SY,2021-11-29 19:03:06,35.3029,37.1841,63.79,53,100,5.84
267,Kiruna,SE,2021-11-29 19:03:07,67.8557,20.2251,-10.28,77,90,2.3
268,Puerto Ayora,EC,2021-11-29 19:03:07,-0.7393,-90.3518,80.56,80,89,11.23
269,Adoni,IN,2021-11-29 19:03:08,15.6333,77.2833,69.58,88,100,8.37
270,Challapata,BO,2021-11-29 19:03:08,-18.9,-66.7667,62.26,28,98,7.65
271,Dustlik,UZ,2021-11-29 19:03:08,40.5247,68.0358,48.24,26,100,9.13
272,Santa Fe,AR,2021-11-29 18:59:13,-31.6333,-60.7,86.02,27,0,8.01
273,Stanceni,RO,2021-11-29 19:03:09,46.9833,25.2333,33.33,95,70,6.93
274,Ekhabi,RU,2021-11-29 19:03:10,53.5102,142.9671,16.3,85,100,16.69
275,Pierre,US,2021-11-29 18:59:48,44.3683,-100.351,60.28,44,59,3.0
276,Saint-Paul,RE,2021-11-29 19:03:10,-21.0096,55.2707,77.09,97,29,1.01
277,Georgetown,MY,2021-11-29 19:00:24,5.4112,100.3354,76.95,96,40,0.0
278,Padang,ID,2021-11-29 19:03:11,-0.9492,100.3543,76.23,87,67,3.83
279,Hamilton,US,2021-11-29 18:59:16,39.1834,-84.5333,45.99,37,65,1.99
280,Berlevag,NO,2021-11-29 19:04:12,70.8578,29.0864,17.55,73,100,28.77
281,Sung Noen,TH,2021-11-29 19:04:13,14.8992,101.8207,69.96,79,100,8.21
282,Tilichiki,RU,2021-11-29 19:04:13,60.4667,166.1,28.29,93,100,26.8
283,Ati,TD,2021-11-29 19:02:12,13.2154,18.3353,85.33,14,7,9.17
284,Manono,CD,2021-11-29 19:02:14,-7.3,27.4167,74.8,76,75,2.37
285,Kieta,PG,2021-11-29 19:04:14,-6.2167,155.6333,79.43,85,100,2.95
286,Vostok,RU,2021-11-29 19:04:15,46.4856,135.8833,8.69,95,100,2.82
287,Gizo,SB,2021-11-29 19:04:15,-8.103,156.8419,82.6,77,99,9.62
288,Sokoni,TZ,2021-11-29 19:04:15,-6.4333,39.55,80.87,80,69,10.11
289,Alofi,NU,2021-11-29 19:04:16,-19.0595,-169.9187,78.69,61,20,12.66
290,Kruisfontein,ZA,2021-11-29 19:04:16,-34.0033,24.7314,60.89,81,0,3.47
291,Narsaq,GL,2021-11-29 19:04:17,60.9167,-46.05,32.22,98,100,10.98
292,Santa Isabel,BR,2021-11-29 19:04:17,-23.3156,-46.2214,94.37,34,100,10.31
